Text
"Failing to live up to the promise: the politics of equal pay in ‘new’ workplace and industrial relations institutions Political Representation; Quotas; Parliament Workplace and industrial relations regulations are key sites for policy intervention to address Australia's gender pay gap, which, at 15.3 per cent, is almost as large as it was in 1997. In both the Fair Work Act 2009 (Cth) and the Workplace Gender Equality Act 2012 (Cth) the goal of equal pay has a more central place than it did in predecessor legislation. In particular, the Fair Work Act has the potential to deliver more gender-equitable wage structures through addressing systemic gender-based undervaluation at the industry level. Adopting a feminist institutional approach this article examines equal pay policy in the operations of workplace and industrial relations regulation to ask why, despite some recent successes, this potential appears unlikely to be realised."
"The role of supply chain orientation in achieving supply chain sustainability Supply Chain; Environmentally Preferable Purchasing; Green Practices Supply chain orientation (SCO) has the potential to contribute to supply chain sustainability performance. The literature, however, has not determined whether SCO has a direct effect on supply chain sustainability performance, nor has it differentiated between the effects of different categories of SCO on supply chain sustainability performance. A SEM analysis of data collected from supply chain managers determined that the SCO construct of supply chain collaboration and communication could directly affect both supply chain environmental and social sustainability performance. The SCO construct of internal supply chain coordination, however, affected only supply chain environmental sustainability performance and this effect was mediated by the organisation's internal supply chain sustainability practices. A second path between supply chain collaboration and communication and supply chain environmental sustainability performance, which was mediated by internal supply chain sustainability practices was also identified. These findings indicate that different SCO constructs have different effect pathways in relation to supply chain sustainability performance. The identification of the effects of different categories of SCO and the SCO â€“ performance relationship has important implications for SCO research design."
"Numerical assessment of respiratory airway exposure risks to diesel exhaust particles Aerosol; Dry Powder Inhalers; Particle Transport Exposure to ambient air pollution presents great adverse health risks to respiratory health, and assessing the respiratory exposure doses, especially in the human deep lung regions, remains difficult due to the sheer complexity of the process. To bridge this gap, an extended large-to-small conducting lung airway model was adopted in this study, which includes a broad scope containing bronchial airways up to the 15th generation. Accumulation mode particles in the size range of 100 nm to 3.0 Î¼m representing major size spectrum of coarse diesel exhaust were released at the inlet of respiratory airway model, and both airflow and particle deposition characteristics were numerically investigated. The simulation results showed that the particle deposition in the respiratory airway is sensitive to the variation of inhalation flow rates. For inhalation exposure at lower breathing rate of 18 L/min, both deposited diffusive and inertia particles were very unevenly distributed in the lower respiratory airway. For inhalation exposure at higher breathing rate of 50 L/min, deposited diffusive and inertia particles were both scattered over the lower respiratory airway. In addition, high inhalation flow rate enabled inertia particles to be deposited further d ownstream of the airway with deposition hot spots observed in distal airways."
"Perspectives of scholars on the origin, spread and consequences of COVID-19 are diverse but not polarized One Health Initiative; Zoonosis; Communicable Diseases The coronavirus disease 2019 (COVID-19) pandemic, caused by severe acute respiratory syndrome coronavirus 2, has devastated every sphere of human society. Governments around the world implemented unprecedented policies designed to slow the spread of the disease and assistance to cope with its impacts. Such policies, however, are short-term and debates have ensued about what broader policies are needed in the post-COVID-19 era to ensure societies are better prepared for future pandemics. Public opinion concerning COVID-19 and the post-COVID-19 era is diverse, and the patterns in opinion are not well documented. Here we synthesized the opinions of 3731 research scholars throughout the world based on a survey. The highest consensus among respondents concerned the need for improving public health infrastructure and delivering economic support, whereas agreement concerning ecological aspects was low. The survey revealed three dimensions of thinking about COVID-19. The first dimension relates to public health and has widespread support. The second dimension relates to science-led policy development focusing on social justice and environmental governance, covering components of both ecology and economy. The third dimension covers the role of nature conservation in reducing the risk of pandemics. Although opinions differed with age, country of citizenship, and level of education, there is strong agreement on the need for global health equity and science-led public policy."
"Achieving the SDGs: Evaluating indicators to be used to benchmark and monitor progress towards creating healthy and sustainable cities Built Environment; Exercise; Pedestrians In 2016, the World Health Organization declared that â€˜Health is one of the most effective markers of any city's successful sustainable developmentâ€™ (World Health Organisation, 2016). With estimates that around 6.7 billion people will live in cities by 2050, 21st century city planning decisions will play a critical role in achieving the United Nations (UN) Sustainable Development Goals (SDGs). They will determine the city structure and access to health-enhancing (or health-damaging) urban environments, and ultimately lifestyle choices that impact both individual and planetary health. Benchmarking, monitoring and evaluating city planning policies and interventions is therefore critical to optimise urban outcomes. In 2017, the UN adopted a global SDG indicator framework, calling for complementary national and regional indicators to be collected by member countries. UN Habitat has also developed an indicator action framework specifically for cities. This paper examined the extent to which the UN indicators will help cities evaluate their efforts to deliver sustainability and health outcomes. It identified inconsistencies between the two UN indicator frameworks. Many of the SDG indicators assess outcomes, rather than the comprehensive and integrated â€˜upstreamâ€™ policies and interventions required to deliver outcomes on-the-ground. Conversely, the UN Habitat framework incorporates intervention indicators, but excludes health outcome indicators. A more comprehensive approach to benchmarking, monitoring and evaluating policies designed to achieve healthy and sustainable cities and assessing spatial inequities is proposed."
"Earnings management and bank risk-taking behavior in Asia-Pacific region Loan Loss Provisions; Fair Value; International Financial Reporting Standards The issue of bank risk-taking behavior has regained attention in Asia-Pacific banking sector as banks in this region are facing rising risk and capital costs. This study investigates the association between earnings management and risk-taking behavior in Asia-Pacific banks. We argue that earnings management induces banks to invest in riskier assets to â€˜search for yieldâ€™ since earnings management increases banksâ€™ capital cost leading to reduction in profitability. Using a sample of 237 listed commercial banks across 13 Asia-Pacific countries and territories in the period of 2001â€“2017, our research finds that there is a significant positive relationship between earnings management using loan loss provisions and bank risk-taking behavior."
"Energy efficiency education and training: Australian lessons on what employers want—or need Personnel; Career Barriers; Employed Women This paper explores current approaches and future directions for energy efficiency education and training in the tertiary sector. Energy efficiency is a significant element in many jobs across the economy, with potential for substantial growth. It crosses disciplinary boundaries, as the range of skills and knowledge required by practitioners is broad, reflecting the diversity and expanding range of work roles that require energy efficiency skills and knowledge. Limitations of education and training contribute to a situation where business and consumer decision-making often involves little or no consideration of energy, so outcomes are often sub-optimal. This increases costs, environmental and social impacts and undermines productivity improvement. As the significance of energy efficiency skills and knowledge in workplaces increases, more flexible and varied education and training models are needed to allow workers to upskill, gain new skills and integrate energy efficiency into business models. The paper discusses the barriers to adoption of more comprehensive energy efficiency content in programs and presents options for inclusion. The paper concludes that, in order to capture the potential of energy efficiency to contribute to a productive, sustainable economy, appropriate teaching resources and certification must be developed and introduced across most disciplines, while employers and recruitment consultants must be informed of the benefits, so they value energy efficiency skills and qualifications."
"Selective electron beam manufactured Ti-6Al-4V lattice structures for orthopedic implant applications: Current status and outstanding challenges Microstructure; Titanium Alloy (TiAl6V4); Inconel (Trademark) Additively manufactured Ti-6Al-4V lattices display unique mechanical and biological properties by virtue of their engineered structure. These attributes enable the innovative design of patient-specific medical implants that (i) are conformal to the intended surgical geometry, (ii) mimic the mechanical properties of natural bone, and (iii) provide superior biological interaction to traditional implants. Selective electron beam melting (SEBM) is an established metal additive manufacturing (AM) process that has enabled the design and fabrication of a variety of novel intricate lattices for implant applications over the last 15 years. This article reviews the technical and clinical characteristics of SEBM Ti-6Al-4V lattices, including (i) the SEBM process and its capabilities, (ii) the structures of human bones with an exhaustive list of corresponding mechanical properties from literature, (iii) the mechanical properties of SEBM Ti-6Al-4V lattices of various designs and their shortcomings when compared to human bones, (iv) microstructural control of SEBM Ti-6Al-4V lattices for improved performance, (v) the lattice manufacturability and associated geometric errors, and (vi) clinical cases. Existing literature on the mechanical response of SEBM Ti-6Al-4V lattice structures is exhaustively evaluated for documentation quality using established theoretical models. This extensive data-set allows novel insights into the effect of lattice design on mechanical response that is not possible with the individual data; and provides a comprehensive database for those who are actively involved in patient-specific SEBM implant design. On this basis, outstanding challenges and research opportunities for SEBM Ti-6Al-4V lattices in the biomedical domain are identified and discussed."
"Human rights from a social accounting perspective in a post-conflict environment: The case of Sri Lanka Corporate Social Responsibility; Sustainability Reporting; Global Reporting Initiative This paper examines how three decades of civil conflict in Sri Lanka has impacted the perceptions of the accounting practitioners with regard to human rights (both during and post-conflict). Using the legitimacy lens in social accounting and the role of the state-supported accountancy body-Institute of Chartered Accountants Sr Lanka (CASL) human rights case is investigated. Specifically, the studyâ€™s scope is on rights and the degree of legitimacy formation for which accounting associations are accountable for human rights disclosure in a post-conflict environment in an emerging economy. The study interprets documentary evidence and a survey data that was administered among the members of the CASL. The findings reveal that the civil conflict had not hindered the accountants being in parallel with the legitimacy of social accounting notions adopted by the Western world in the disclosure of human rights. At the individual response level, they perceive that the accounting discipline as agents to promote human rights disclosure in business entities. Despite the fact, that this study has a low response rate, what is generalisable is an understanding of the processes and mechanisms which relate to the way the accountants perceived human rights by themselves. The practical implication indicates that urgent measures need to be undertaken to mainstream the legitimate human rights obligations of business entities since there is no one-size-fits-all strategy in a post-conflict environment. The social implication is that awareness of human rights issues, especially among the next generation of accountants is vital since this transformation would enable them not only to be technically competent but also to be ethical in a post-conflict environment. The study contributes to the literature on perceptions of human rights in a post-conflict environment from a social accounting perspective in an emerging economy."
"Life cycle assessment of alkali-activated concretes under marine exposure in an Australian context Geopolymers; Coal Ash; Alkali Alkali-activated concretes have been shown to be an environmentally advantageous construction material as they utilize waste or by-products as precursors, such as fly ash and ground blast furnace slag. These concretes also have the ability to achieve strengths suitable for structural applications. However, each mix design of an alkali-activated concretes is unique and requires a detailed life cycle analysis to determine the environmental impact and cost viability. This study evaluates the feasibility of alkali-activated fly ash or fly ash geopolymer and alkali-activated slag concrete developed for application in Australia currently subject to long term site performance studies. This paper reports a detailed life cycle assessment analysis of these concretes to assess their environmental footprint. The paper considers three distinct allocation methods: baseline, mass, and economic allocation, with two system boundaries: manufacture and construction. The study shows AAS concrete has a lower environmental impact than an equivalent strength PC concrete in two impact categories, global warming potential and eutrophication, while acidification and human toxicity depend on the allocation method applied in the manufacturing stage. The global warming potential (100-years) of AAS is 5.25â€“35% less than PC concrete. The FAGP concrete has more negative impacts on the environment than PC-based concrete, regardless of which allocation method is applied. The report highlights alkaline activators and transportation of raw materials as the main environmental impact contributors to concrete manufacture. The global warming potential of FAGP is 22â€“34% higher than the equivalent PC concrete in the baseline method. For the construction stage boundary, machinery appliances for handling concrete and transportation only contributes a small environmental impact (<4%) compared with concrete manufacturing. Cost estimation for concrete production suggests that the cost of the alkali-activated concrete is competitive with the conventional concrete market, dependant on the proximity of the feedstocks and the cost of sodium silicate. Neglecting the transportation cost of feedstocks, the cost of AAS concrete can be 4.8% cheaper, whereas the cost of FAGP concrete is 2.7% more expensive than PC concrete."
